step,epoch,split,loss,RPA,RCA,MAE_cents,learning_rate,wall_time_sec
19600,1,train,0.015559,0.6661,0.6706,112.70,5.00e-05,958.8
19700,1,train,0.015768,0.6636,0.6681,109.80,5.00e-05,963.1
19800,1,train,0.015621,0.6555,0.6603,115.24,5.00e-05,967.4
19900,1,train,0.015628,0.6528,0.6572,113.45,5.00e-05,971.7
20000,1,train,0.015220,0.6806,0.6845,106.00,5.00e-05,976.0
20000,1,val,0.016019,0.6615,0.6668,119.20,5.00e-05,1091.9
20100,1,train,0.015989,0.6687,0.6728,112.93,5.00e-05,1096.8
20200,1,train,0.015571,0.6647,0.6702,113.41,5.00e-05,1101.1
20300,1,train,0.015938,0.6398,0.6436,115.42,5.00e-05,1105.4
20400,1,train,0.016042,0.6534,0.6585,123.16,5.00e-05,1109.6
20500,1,train,0.015992,0.6448,0.6483,114.88,5.00e-05,1113.9
20600,1,train,0.015510,0.6552,0.6585,110.51,5.00e-05,1118.2
20700,1,train,0.015755,0.6597,0.6619,113.99,5.00e-05,1122.5
20800,1,train,0.015512,0.6558,0.6587,113.20,5.00e-05,1126.8
20900,1,train,0.015114,0.6843,0.6891,106.43,5.00e-05,1131.1
21000,1,train,0.015915,0.6490,0.6522,118.20,5.00e-05,1135.5
21100,1,train,0.015864,0.6566,0.6620,113.40,5.00e-05,1139.8
21200,1,train,0.016048,0.6687,0.6741,115.58,5.00e-05,1144.1
21300,1,train,0.015899,0.6383,0.6415,120.34,5.00e-05,1148.4
21400,1,train,0.015712,0.6575,0.6620,112.52,5.00e-05,1152.7
21500,1,train,0.015410,0.6661,0.6700,108.09,5.00e-05,1157.0
21600,1,train,0.016149,0.6417,0.6475,124.19,5.00e-05,1161.2
21700,1,train,0.015998,0.6479,0.6539,121.05,5.00e-05,1165.5
21800,1,train,0.015123,0.6579,0.6602,102.97,5.00e-05,1169.8
21900,1,train,0.015828,0.6536,0.6584,120.10,5.00e-05,1174.1
22000,1,train,0.015623,0.6638,0.6679,109.05,5.00e-05,1178.4
22100,1,train,0.015702,0.6519,0.6580,120.14,5.00e-05,1182.7
22200,1,train,0.015204,0.6639,0.6671,111.74,5.00e-05,1187.0
22300,1,train,0.015472,0.6579,0.6624,112.17,5.00e-05,1191.3
22400,1,train,0.015530,0.6568,0.6619,115.44,5.00e-05,1195.6
22500,1,train,0.015445,0.6597,0.6655,105.81,5.00e-05,1199.9
22600,1,train,0.015662,0.6582,0.6631,115.40,5.00e-05,1204.2
22700,1,train,0.015697,0.6634,0.6692,108.23,5.00e-05,1208.4
22800,1,train,0.015499,0.6637,0.6686,113.16,5.00e-05,1212.7
22900,1,train,0.016005,0.6459,0.6520,122.16,5.00e-05,1217.0
23000,1,train,0.015405,0.6494,0.6519,112.26,5.00e-05,1221.3
23100,1,train,0.015565,0.6650,0.6682,112.23,5.00e-05,1225.6
23200,1,train,0.015570,0.6623,0.6658,116.36,5.00e-05,1229.9
23300,1,train,0.016079,0.6564,0.6622,120.31,5.00e-05,1234.2
23400,1,train,0.015976,0.6452,0.6494,115.70,5.00e-05,1238.5
23500,1,train,0.015525,0.6605,0.6653,117.09,5.00e-05,1242.8
23600,1,train,0.015897,0.6378,0.6423,117.70,5.00e-05,1247.1
23700,1,train,0.015428,0.6611,0.6666,109.57,5.00e-05,1251.4
23800,1,train,0.015327,0.6693,0.6745,109.30,5.00e-05,1255.7
23900,1,train,0.015627,0.6611,0.6676,112.37,5.00e-05,1259.9
24000,1,train,0.015778,0.6658,0.6715,115.73,5.00e-05,1264.2
24100,1,train,0.015672,0.6592,0.6628,113.03,5.00e-05,1268.5
24200,1,train,0.015992,0.6446,0.6475,119.82,5.00e-05,1272.8
24300,1,train,0.015455,0.6493,0.6541,111.83,5.00e-05,1277.1
24400,1,train,0.015411,0.6588,0.6623,110.91,5.00e-05,1281.4
24500,1,train,0.015296,0.6712,0.6754,107.47,5.00e-05,1285.7
24600,1,train,0.015508,0.6656,0.6707,113.34,5.00e-05,1290.0
24700,1,train,0.015548,0.6709,0.6755,113.44,5.00e-05,1294.3
24800,1,train,0.015989,0.6328,0.6377,121.67,5.00e-05,1298.6
24900,1,train,0.015942,0.6582,0.6623,117.04,5.00e-05,1302.9
25000,1,train,0.015686,0.6519,0.6551,114.82,5.00e-05,1307.2
25100,1,train,0.015742,0.6589,0.6615,114.98,5.00e-05,1311.7
25200,1,train,0.015604,0.6692,0.6736,113.12,5.00e-05,1316.0
25300,1,train,0.015438,0.6731,0.6785,111.80,5.00e-05,1320.3
25400,1,train,0.015649,0.6544,0.6608,115.27,5.00e-05,1324.6
25500,1,train,0.015589,0.6588,0.6617,114.15,5.00e-05,1328.9
25600,1,train,0.015150,0.6741,0.6773,107.67,5.00e-05,1333.2
25700,1,train,0.015098,0.6803,0.6851,110.14,5.00e-05,1337.5
25800,1,train,0.015968,0.6474,0.6526,121.01,5.00e-05,1341.8
25900,1,train,0.015821,0.6505,0.6556,117.99,5.00e-05,1346.1
26000,1,train,0.015605,0.6626,0.6684,111.54,5.00e-05,1350.4
26100,1,train,0.015777,0.6505,0.6537,115.36,5.00e-05,1354.6
